method,timestamp,identity_similarity,identity_preserved,identity_accuracy,original_emotion,stylized_emotion,emotion_preserved,emotion_accuracy,emotion_distribution_similarity,ssim,ssim_percentage,psnr,edge_preservation,edge_preservation_percentage,color_similarity,color_similarity_percentage,cartoon_quality,cartoon_quality_percentage,overall_preservation,overall_preservation_percentage,quality_preservation_balance,balance_percentage,image_name
OpenCV Baseline,2025-10-16 04:33:25.595907,0.5305700071541126,False,53.05700071541126,sad,neutral,False,0.0,0.16808664798736572,0.581358104356583,58.1358104356583,12.503184237022616,0.3411311493235162,34.11311493235162,0.49773076881233513,49.773076881233514,16.498272063311408,1649.8272063311408,0.40127191073792806,40.12719107379281,8.449771987024668,844.9771987024668,celebhq_0000.jpg
Simple Quantization,2025-10-16 04:33:27.950197,0.990695439172329,True,99.0695439172329,sad,sad,True,100.0,0.986952543258667,0.8911675808734925,89.11675808734924,30.011775012164907,0.6812243678535539,68.12243678535539,0.31988979373973336,31.988979373973336,9.52884413326488,952.8844133264879,0.8256092721653903,82.56092721653903,5.177226702715135,517.7226702715135,celebhq_0000.jpg
Edge-Preserving,2025-10-16 04:33:30.387011,0.9827114809755138,True,98.27114809755138,sad,sad,True,100.0,0.9968108534812927,0.7956727261459201,79.56727261459201,29.629445588812864,0.48214982735325024,48.21498273532502,0.8878650298471459,88.78650298471459,5.742443861119887,574.2443861119887,0.8594502181018976,85.94502181018976,3.300947039610892,330.09470396108924,celebhq_0000.jpg
Our Method,2025-10-16 04:33:32.948567,0.7768695318248082,True,77.68695318248082,sad,sad,True,100.0,0.900655210018158,0.37364227776492714,37.36422777649271,11.597335390304169,0.3091151895764532,30.911518957645317,0.11061222105773248,11.061222105773249,12.518521356021656,1251.8521356021656,0.5707484266955557,57.07484266955557,6.544634891358606,654.4634891358606,celebhq_0000.jpg
Our Adaptive,2025-10-16 04:33:36.525315,0.7753171617599438,True,77.53171617599438,sad,sad,True,100.0,0.8236052989959717,0.7720123896934853,77.20123896934852,18.62888719627611,0.5513796674179204,55.13796674179204,0.9777275042257751,97.77275042257752,13.660007885203642,1366.0007885203643,0.8163637022132346,81.63637022132346,7.238185793708438,723.8185793708438,celebhq_0000.jpg
OpenCV Baseline,2025-10-16 04:39:50.998024,0.8900073633788592,True,89.00073633788593,neutral,angry,False,0.0,0.2662240266799927,0.2682922250247544,26.829222502475442,10.373790523331019,0.14138009500241772,14.138009500241772,0.09455251530836571,9.455251530836572,19.67569106158088,1967.569106158088,0.3560505455652262,35.60505455652262,10.015870803573053,1001.5870803573054,celebhq_0001.jpg
Simple Quantization,2025-10-16 04:39:54.305184,0.9839937081011545,True,98.39937081011544,neutral,neutral,True,100.0,0.9302056431770325,0.8450787274225563,84.50787274225563,28.96479409083691,0.4656543399118605,46.56543399118605,0.11393875076800326,11.393875076800326,5.287609813914579,528.7609813914579,0.7511528215168373,75.11528215168373,3.019381317715708,301.9381317715708,celebhq_0001.jpg
Edge-Preserving,2025-10-16 04:39:56.596876,0.6214174096080649,True,62.14174096080649,neutral,angry,False,0.0,0.23480558395385742,0.8155218151078717,81.55218151078716,29.564696508121937,0.3695666778636211,36.956667786362104,0.7636665261403314,76.36665261403314,2.2296884693818937,222.96884693818936,0.5195145665045866,51.95145665045866,1.37460151794324,137.460151794324,celebhq_0001.jpg
Our Method,2025-10-16 04:39:58.780824,0.9504237663854385,True,95.04237663854384,neutral,sad,False,0.0,0.26334208250045776,0.3645623830052682,36.45623830052682,12.04776249292038,0.15839771101573677,15.839771101573676,0.005622442705111176,0.5622442705111176,14.032498393339269,1403.249839333927,0.3826426295748124,38.264262957481236,7.207570511457041,720.757051145704,celebhq_0001.jpg
Our Adaptive,2025-10-16 04:40:01.424071,0.8886075399681883,True,88.86075399681883,neutral,angry,False,0.0,0.3080120086669922,0.7698262608281533,76.98262608281533,16.359985632464642,0.4528738163400132,45.28738163400132,0.273389758932396,27.3389758932396,7.853271991505342,785.3271991505342,0.5294870504469484,52.94870504469485,4.191379520976145,419.1379520976145,celebhq_0001.jpg
